date, time, sponsor, host, distance, ping, dowload, upload
2015/01/03, 01:31, Virgin Media, Basildon, 44.75, 30.096, 32.59, 1.72
2015/01/03, 01:32, Virgin Media, Basildon, 44.75, 28.099, 31.57, 1.64
2015/01/03, 09:21, Virgin Media, Basildon, 44.75, 26.728, 30.42, 1.62
2015/01/03, 09:37, Virgin Media, Basildon, 44.75, 29.294, 31.98, 1.80
2015/01/03, 09:53, Virgin Media, Basildon, 44.75, 36.341, 30.01, 1.59
2015/01/03, 10:08, Virgin Media, Basildon, 44.75, 26.674, 32.56, 1.64
2015/01/03, 10:24, Virgin Media, Basildon, 44.75, 26.986, 26.94, 1.81
2015/01/03, 10:40, Virgin Media, Basildon, 44.75, 36.061, 27.86, 1.77
2015/01/03, 10:55, Virgin Media, Basildon, 44.75, 26.323, 30.79, 1.62
2015/01/03, 11:11, Virgin Media, Basildon, 44.75, 27.652, 32.37, 1.80
2015/01/03, 11:27, Fluidata, Hemel Hempstead, 64.21, 35.993, 25.89, 1.68
2015/01/03, 11:43, Virgin Media, Basildon, 44.75, 34.661, 26.06, 1.55
2015/01/03, 11:58, Virgin Media, Basildon, 44.75, 29.545, 28.76, 1.68
2015/01/03, 12:14, Virgin Media, Basildon, 44.75, 28.825, 28.29, 1.69
2015/01/03, 12:30, ServerChoice Ltd, Welwyn Garden City, 49.98, 46.459, 26.34, 1.50
2015/01/03, 12:46, Virgin Media, Basildon, 44.75, 26.883, 31.64, 1.52
2015/01/03, 13:01, Cloud Space UK, Canterbury, 68.62, 38.709, 23.77, 1.62
2015/01/03, 13:17, Cloud Space UK, Canterbury, 68.62, 126.987, 25.18, 1.59
2015/01/03, 13:33, Virgin Media, Basildon, 44.75, 26.007, 29.57, 1.45
2015/01/03, 13:49, Fluidata, Hemel Hempstead, 64.21, 34.481, 22.51, 1.64
2015/01/03, 14:04, Virgin Media, Basildon, 44.75, 41.736, 26.86, 1.65
2015/01/03, 14:20, Virgin Media, Basildon, 44.75, 30.619, 27.98, 1.55
2015/01/03, 14:36, Virgin Media, Basildon, 44.75, 26.851, 30.20, 1.80
2015/01/03, 14:53, Virgin Media, Basildon, 44.75, 27.393, 25.83, 1.68
2015/01/03, 17:01, Fluidata, Hemel Hempstead, 64.21, 39.824, 28.11, 1.48
2015/01/03, 17:17, Virgin Media, Basildon, 44.75, 28.827, 24.76, 1.54
2015/01/03, 17:32, Virgin Media, Basildon, 44.75, 28.634, 32.57, 1.79
2015/01/03, 17:48, Virgin Media, Basildon, 44.75, 34.229, 30.64, 1.65
2015/01/03, 18:04, Virgin Media, Basildon, 44.75, 29.624, 30.52, 1.58
2015/01/03, 18:19, Virgin Media, Basildon, 44.75, 28.788, 32.10, 1.80
2015/01/03, 18:35, Virgin Media, Basildon, 44.75, 36.289, 30.33, 1.80
2015/01/03, 18:51, Virgin Media, Basildon, 44.75, 30.278, 31.52, 1.68
2015/01/03, 19:07, Virgin Media, Basildon, 44.75, 25.779, 32.07, 1.75
2015/01/03, 19:22, Virgin Media, Basildon, 44.75, 38.631, 31.39, 1.75
2015/01/03, 19:38, Virgin Media, Basildon, 44.75, 29.69, 30.96, 1.53
2015/01/03, 19:54, Fluidata, Hemel Hempstead, 64.21, 39.175, 24.72, 1.60
2015/01/03, 20:10, Virgin Media, Basildon, 44.75, 39.504, 25.64, 1.73
2015/01/03, 20:25, Fluidata, Hemel Hempstead, 64.21, 32.91, 17.35, 1.73
2015/01/03, 20:41, Virgin Media, Basildon, 44.75, 33.183, 31.68, 1.59
2015/01/03, 20:57, Virgin Media, Basildon, 44.75, 40.836, 9.13, 1.56
2015/01/03, 21:13, Virgin Media, Basildon, 44.75, 40.807, 26.36, 1.47
2015/01/03, 21:29, Virgin Media, Basildon, 44.75, 57.023, 17.57, 1.57
2015/01/03, 21:45, Cloud Space UK, Canterbury, 68.62, 43.748, 21.53, 1.69
2015/01/03, 22:00, Virgin Media, Basildon, 44.75, 32.474, 28.64, 1.73
2015/01/03, 22:16, Virgin Media, Basildon, 44.75, 30.026, 31.67, 1.79
2015/01/03, 22:32, Virgin Media, Basildon, 44.75, 38.464, 24.78, 1.64
2015/01/03, 22:48, Virgin Media, Basildon, 44.75, 34.912, 24.06, 1.74
2015/01/03, 23:04, Virgin Media, Basildon, 44.75, 41.01, 25.31, 1.56
2015/01/03, 23:19, Fluidata, Hemel Hempstead, 64.21, 36.081, 29.34, 1.73
